Наименование	Вид деятельности	Выручка 	ЛПР	Должность	Почта
ООО" ГК Содружество"	Агрохолдинг	около 300 млрд.	Гурков Константин Вадимович	Генеральный директор УК	info@sodrugestvo.ru
ГК "Эфко"	Агрохолдинг	около 277 млрд. в 22 г.	Ляшенко Евгений Васильевич	Генеральный директор УК	info@efko.ru
ГК "Русагро"	Агрохолдинг	около 230 млрд. руб.	Липатов Тимур Владимирович	Генеральный директор	rusagrogroup@rusagrogroup.ru
Агрохолдинг «Мираторг»	Агрохолдинг	около 190 млрд	Линник Виктор Вячеславович 	Президент	info@agrohold.ru
ГК «Агропромкомплектация»	Агрохолдинг	133 млрд.	Новиков Сергей Анатольевич	Генеральный директор	info@apkholding.ru
ООО "Экониваагро"	Агрохолдинг	28,2 млрд. руб.	Александр Нестеренко Владимирович	Директор производственного хозяйства	apk@ekoniva-apk.com
Группа "Черкизово"	Агрохолдинг	226,7 млрд. руб.	Михайлов Сергей Игоревич	Генеральный директор	info@cherkizovo.com
ЗАО "Агрокомплекс"	Агрохолдинг	84,5 млрд. руб.	Хворостина Евгений Николаевич	Генеральный директор	info@agrokomplex.ru
АО Агрохолдинг "Степь"	Агрохолдинг	15,6 млрд. руб.	Недужко Андрей Михайлович	Генеральный директор	info@ahstep.ru
АО "СИБАГРО"	Агрохолдинг	16,4 млрд. руб.	Ильиных Сергей Евгеньевич	Генеральный директор	info@sagro.ru
ООО "Комос групп"	Агрохолдинг	18,9 млрд. руб.	Шутов Андрей Васильевич 	Управляющий (ИП)	office@komos.ru
ООО "СХП "ПОБЕДА"	Агрохолдинг	3,2 млрд. руб.	Купцов Сергей Иванович	Генеральный директор	pobeda@energomera.ru
ООО "Янта"	Агрохолдинг	11,4 млрд. руб.	Баймашев Евгений Закарьевич	Генеральный директор	chtv@yantagroups.ru
ООО ГК "БЕЛАЯ ДОЛИНА"	Агрохолдинг	7,5 млрд. руб.	Михайлов Алексей Сергеевич	Председатель правления	bd@beldolina.ru
ООО ТД "ЗДОРОВАЯ ФЕРМА"	Агрохолдинг	7,8 млрд. руб.	Попова Виктория Викторовна	Генеральный директор	mail@zferma.com
ООО "ПРОДИМЕКС"	Агрохолдинг	70,4 млрд. руб.	Алексахин Виктор Владиславович	Генеральный директор	office@prodimex.ru
ООО КОМПАНИЯ "БИО-ТОН"	Агрохолдинг	10,9 млрд. руб.	Логачева Ирина Валерьевна	Генеральный директор	office@bioton-agro.ru
АО "АГРОСИЛА"	Агрохолдинг	4,6 млрд. руб.	Барсукова Светлана Геннадьевна	Генеральный директор	office@agrosila-holding.ru
АО "ЩЕЛКОВО АГРОХИМ"	Агрохолдинг	35,3 млрд. руб.	Каракотов Салис Добаевич	Генеральный директор	info@betaren.ru
ООО "РУЗКОМ"	Агрохолдинг	6,4 млрд. руб.	Горбунков Михаил Владимирович	Генеральный директор	sekr@ruzcom.ru
ООО "НПГ "САДЫ ПРИДОНЬЯ"	Агрохолдинг	3,8 млрд. руб.	Самохин Андрей Павлович 	Президент	referent-spr@pridonie.ru
АО «НПО им. С.А. Лавочкина»	Роскосмос	12 млрд.	Яременко Дмитрий Эдуардович	Генеральный директор	npol@laspace.ru
РКЦ "Прогресс"	Роскосмос	30 млрд.	Баранов Дмитрий Александрович	Генеральный директор	mail@samspace.ru
Госкорпорация "Роскосмос"	Роскосмос	-	Баканов Дмитрий Владимирович	Генеральный директор	info@roscosmos.ru
ФКУ "ДИРЕКЦИЯ КОСМОДРОМА "ВОСТОЧНЫЙ"	Управляющая компания	-	Степанов Виктор Валерьевич	Генеральный директор	Не нашла
Группа НМТП	Управляющая компания	29 млрд.	Киреев Сергей Георгиевич	Генеральный директор	mail@ncsp.com
АО «Морской порт Санкт-Петербург»	Управляющая компания	8 млрд	Андрей Николаевич Ярославцев	Генеральный директор	info@seaport.spb.ru
АО "КОНЦЕРН ВКО "АЛМАЗ - АНТЕЙ"	Управляющая компания	-	Новиков Ян Валентинович	Генеральный директор	antey@almaz-antey.ru
ООО "ТРАНСНЕФТЬ-ПОРТ ПРИМОРСК"	Управляющая компания	8,3 млрд. руб.	Шувалов Владимир Валерьевич	Генеральный директор	info@prm.transneft.ru
ПАО "БУРЯТЗОЛОТО"	Добыча руд и драгоценных металлов	-	Бурмистров Владимир Александрович	Генеральный директор	buryatzoloto@nordgold.com
ПАО "Полюс"	Добыча руд и драгоценных металлов	-	Востоков Алексей Александрович	Генеральный директор	info@polyus.com
ООО "А/С ЧУКОТКА"	Добыча руд и драгоценных металлов	389 млн. руб.	"	Коваленко Дмитрий Олегович"	Генеральный директор	"
info@achuk.ru"
АО "Полиметалл"	Добыча руд и драгоценных металлов	-	Черкашин Сергей Александрович	Генеральный директор	tdpm@polymetal.ru
АО "ВЫСОЧАЙШИЙ"	Добыча руд и драгоценных металлов	12,9 млрд. руб.	Гостев Сергей Викторович	Генеральный директор	info@gvgold.ru
ООО "АС "ШАХТЕР"	Добыча руд и драгоценных металлов	2,9 млрд. руб.	Лагутов Сергей Вячеславович	Генеральный директор	artel@shakhter.com
ПАО "ЮГК"	Добыча руд и драгоценных металлов	33,9 млрд. руб.	Константин Иванович Струков	Президент	ugold@ugold.ru
АО "ОСК"	Судостроение 		Андрей Сергеевич Пучков	Генеральный директор	info@aoosk.ru
АО "КТРВ"			Борис Викторович Обносов	Генеральный директор	kmo@ktrv.ru
